Q.No.,Date,Text,Asking Member,Addressed Ministry
28,05-Apr-2023,Janjatiya Gaurav Corridor,"Chandra Sekhar Sahu
Rahul Ramesh Shewale
Pritam Gopinath Munde",RAILWAYS
29,05-Apr-2023,Data Phishing Activities,Raju Bista,ELECTRONICS AND INFORMATION TECHNOLOGY
30,05-Apr-2023,National Seismological Data,Sanjay(Kaka) Ramchandra Patil,EARTH SCIENCES
31,05-Apr-2023,Consultative Committee of Minority Affairs,Abdul Khaleque,PARLIAMENTARY AFFAIRS
32,05-Apr-2023,Vacancies in Railways,"Dean Kuriakose
Hibi Eden",RAILWAYS
33,05-Apr-2023,Role of Data Protection Authority,Rajeshbhai Naranbhai Chudasama,ELECTRONICS AND INFORMATION TECHNOLOGY
34,05-Apr-2023,Scientific Institutions,Kani K. Navas,SCIENCE AND TECHNOLOGY
35,05-Apr-2023,Railway Hospital in Andhra Pradesh,Chinta Anuradha,RAILWAYS
36,05-Apr-2023,Fake Reviews about Hotels and Restaurants,"Subhash Ramrao Bhamre
Kuldeep Rai Sharma
DNV Senthilkumar. S.
Supriya Sadanand Sule
Sunil Dattatray Tatkare
Amol Ramsing Kolhe","CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
37,05-Apr-2023,Export of Skimmed Milk Products,"Kuldeep Rai Sharma
Manoj Rajoria
Sumedhanand Saraswati
Sunil Dattatray Tatkare
Ranjeeta Koli
Subhash Ramrao Bhamre
DNV Senthilkumar. S.
Supriya Sadanand Sule
Amol Ramsing Kolhe",COMMERCE AND INDUSTRY
38,05-Apr-2023,Record Production of Foodgrains,"Bhavana Gawali (Patil)
Krupal Balaji Tumane","CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
39,05-Apr-2023,Frequent Earthquake,Badruddin Ajmal,EARTH SCIENCES
40,05-Apr-2023,Changes to Open Market Sale Scheme,"Goddeti Madhavi
Adala Prabhakara Reddy","CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
41,05-Apr-2023,Closure of MNCs,Asaduddin Owaisi,COMMERCE AND INDUSTRY
42,05-Apr-2023,Vacancies in Railways,"Dean Kuriakose
Hibi Eden",RAILWAYS
43,05-Apr-2023,PFT in Steel PSUs,Ramya Haridas,STEEL
44,05-Apr-2023,LGD Seeds,"Jayanta Kumar Roy
Sangeeta Kumari Singh Deo",COMMERCE AND INDUSTRY
45,05-Apr-2023,Funds allotted to Zones,P. Velusamy,RAILWAYS
46,05-Apr-2023,Electronic Gadgets,Sudhakar Tukaram Shrangre,ELECTRONICS AND INFORMATION TECHNOLOGY
47,05-Apr-2023,Shortage of Semiconductor Chips,"Vinod Kumar Sonkar
Jayanta Kumar Roy
Bhola Singh
Rajveer (Raju Bhaiya) Singh
Raja Amareshwara Naik
Sangeeta Kumari Singh Deo",ELECTRONICS AND INFORMATION TECHNOLOGY
48,05-Apr-2023,Contract Labourers in Telecom Circle,"Arvind Ganpat Sawant
Vinayak Bhaurao Raut",COMMUNICATIONS
49,05-Apr-2023,Applications received under PLI Scheme,"Mahendra Singh Solanky
Sangamlal Kadedin Gupta
Anurag Sharma
Brijbhushan Sharan Singh
Ramapati Ram Tripathi
Pratap Chandra Sarangi
P.P. Chaudhary",TEXTILES
50,05-Apr-2023,Valuation of khadi Industry,Sanjeev Kumar Singari,TEXTILES
51,05-Apr-2023,Land Acquired for Coal Mining,"Sangamlal Kadedin Gupta
Anurag Sharma
Brijbhushan Sharan Singh
Ramapati Ram Tripathi
Pratap Chandra Sarangi",COAL
52,05-Apr-2023,Divya Nayan,Debasree Chaudhuri,SCIENCE AND TECHNOLOGY
53,05-Apr-2023,PFT in Steel PSUs,Ramya Haridas,STEEL
54,05-Apr-2023,LGD Seeds,"Ganesan Selvam
Amol Ramsing Kolhe
Kuldeep Rai Sharma
Subhash Ramrao Bhamre
DNV Senthilkumar. S.
Dhanush M Kumar
Supriya Sadanand Sule
C.N. Annadurai
Manjulata Mandal
Sunil Dattatray Tatkare",TEXTILES
55,05-Apr-2023,Promoting Startups,"Bharatiben Dhirubhai Shyal
Arvind Kumar Sharma",COMMERCE AND INDUSTRY
56,05-Apr-2023,Post Offices without Mobile Network,"Krishna Pal Singh Yadav
Sujay Radhakrishna Vikhepatil
Unmesh Bhaiyyasaheb Patil
Rita Bahuguna Joshi
Shrikant Eknath Shinde
Heena Vijaykumar Gavit",COMMUNICATIONS
57,05-Apr-2023,Rise in Global Temperature,"Naranbhai Bhikhabhai Kachhadiya
Saikia Dilip
Devji Mansingram Patel
Devendrappa Y
Ranjeetsingh Naik Nimbalkar",EARTH SCIENCES
58,05-Apr-2023,Make in India Programme,"Omprakash Bhupalsinh alias Pawan Rajenimbalkar
Sanjay Haribhau Jadhav
Jadon Chandra Sen",TEXTILES
59,05-Apr-2023,Financial Assistance under TIDE 2.0,"Chandra Sekhar Sahu
Manoj Kishorbhai Kotak
Pritam Gopinath Munde
Rahul Ramesh Shewale
Raksha Nikhil Khadse",ELECTRONICS AND INFORMATION TECHNOLOGY
60,05-Apr-2023,Replacing LHB Coaches with ICF Coaches,"Ravneet Singh
Su Thirunavukkarasar",RAILWAYS
61,05-Apr-2023,Digital Villages/Panchayats,"Reddeppa Nallakonda Gari
Magunta Sreenivasulu Reddy
Midhun Reddy",ELECTRONICS AND INFORMATION TECHNOLOGY
62,05-Apr-2023,Standard Operting Procedure (SOP),"Sukanta Majumdar
Vinod Kumar Sonkar
Bhola Singh
Rajveer (Raju Bhaiya) Singh
Raja Amareshwara Naik",ELECTRONICS AND INFORMATION TECHNOLOGY
63,05-Apr-2023,Generation of Revenue,"Sumalatha Ambareesh
D.K. Suresh",RAILWAYS
64,05-Apr-2023,Import of Scrapped Steel,"Sudheer Gupta
Sanjay Sadashivrao Mandlik
Prataprao Jadhav
Shrirang Appa Barne
Bidyut Baran Mahato
Sambhajirao Mane Dhairyasheel",STEEL
65,05-Apr-2023,Pending Proposals under MPLAD Scheme,Ashok Kumar Rawat,STATISTICS AND PROGRAMME IMPLEMENTATION
66,05-Apr-2023,Rejection of Exported Items,S. Gnanathiraviam,COMMERCE AND INDUSTRY
67,05-Apr-2023,Adarsh Station Scheme in Uttar Pradesh,Bholanath (B.P. Saroj),RAILWAYS
68,05-Apr-2023,Storage Capacity in Maharashtra,Vinayak Bhaurao Raut,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
69,05-Apr-2023,Revenue earned by Jaipur and Kota Railway Divisions,Sukhbir Singh Jaunapuria,RAILWAYS
70,05-Apr-2023,Ferro Manganese Plant,Dhal Singh Bisen,MINES
71,05-Apr-2023,Digital Villages/Panchayats,"Reddeppa Nallakonda Gari
Magunta Sreenivasulu Reddy
Midhun Reddy",ELECTRONICS AND INFORMATION TECHNOLOGY
72,05-Apr-2023,Standard Operting Procedure (SOP),"Sukanta Majumdar
Vinod Kumar Sonkar
Bhola Singh
Rajveer (Raju Bhaiya) Singh
Raja Amareshwara Naik","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS"
73,05-Apr-2023,Startup India Seed Fund Scheme,Achyutananda Samanta,COMMERCE AND INDUSTRY
74,05-Apr-2023,World Class Stations under Samastipur Railway Divison,Prince Raj,RAILWAYS
75,05-Apr-2023,RoSCTL Scheme,Anumula Revanth Reddy,TEXTILES
76,05-Apr-2023,Duronto Train from Patna to Chennai,Giridhari Yadav,RAILWAYS
77,05-Apr-2023,Industrially Backward Districts in Tamil Nadu,S.R. Parthiban,COMMERCE AND INDUSTRY
78,05-Apr-2023,Future Development Plan for Steel Sector,Sunil Kumar Mondal,STEEL
79,05-Apr-2023,Industrial Development in Rajasthan,Kanakmal Katara,COMMERCE AND INDUSTRY
80,05-Apr-2023,Trade Deficit with China,Gaurav Gogoi,COMMERCE AND INDUSTRY
81,05-Apr-2023,Concession to Disabled Persons,Subrata Pathak,RAILWAYS
82,05-Apr-2023,Contract Labour in Government Ministries/ Departments,Dharmendra Kumar Kashyap,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS"
83,05-Apr-2023,Funding of Semi-conductor Materials Research,Thalikkottai Rajuthevar Baalu,ELECTRONICS AND INFORMATION TECHNOLOGY
84,05-Apr-2023,Consultative Committee Meetings,Anubhav Mohanty,PARLIAMENTARY AFFAIRS
85,05-Apr-2023,Operation of Samta Express from Jagdalpur to Delhi,Deepak Baij,RAILWAYS
86,05-Apr-2023,Electricity Produced from Atomic Power Reactors,Nama Nageswara Rao,ATOMIC ENERGY
87,05-Apr-2023,Data of Unmanned Level Crossings/Abandoned Railway Crossing,Queen Oja,RAILWAYS
88,05-Apr-2023,Foodgrains Released to States,Bhartruhari Mahtab,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
89,05-Apr-2023,CHCDS,Imtiaz Jaleel Syed,TEXTILES
90,05-Apr-2023,Storage of Spent Nuclear Fuel,D. Ravikumar,ATOMIC ENERGY
91,05-Apr-2023,Periodic Labour Force Survey (PLFS),Kuruva Gorantla Madhav,STATISTICS AND PROGRAMME IMPLEMENTATION
92,05-Apr-2023,Online Bidding,Girish Chandra,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS"
93,05-Apr-2023,Jute Products,Sajda Ahmed,TEXTILES
94,05-Apr-2023,Mumbai Ahmedabad Bullet Train Project,Kaushalendra Kumar,RAILWAYS
95,05-Apr-2023,Ongoing/pending Railway Projects in Ujjain,Anil Firojiya,RAILWAYS
96,05-Apr-2023,Reversion of Train Schedule,Midhun Reddy,RAILWAYS
97,05-Apr-2023,Schemes for Development of Aspirational Districts,Durga Das Uikey,PLANNING
98,05-Apr-2023,Pradhan Mantri Janaushadhi Kendras at Railway Stations,Shankar Lalwani,RAILWAYS
99,05-Apr-2023,Foodgrains through Home Delivery,Jyotsna Charandas Mahant,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
100,05-Apr-2023,Allocation of Foodgrains to Rajasthan,Bhagirath Chaudhary,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
101,05-Apr-2023,Amenities for Passengers,Ghanshyam Singh Lodhi,RAILWAYS
102,05-Apr-2023,Status of Railway Line from Jaipur-Nathdwara,Subhash Chandra Baheria,RAILWAYS
103,05-Apr-2023,Coal Mine Allocation,Mahua Moitra,COAL
104,05-Apr-2023,Real-Time Translation,Brijendra Singh,ELECTRONICS AND INFORMATION TECHNOLOGY
105,05-Apr-2023,National Digital Literacy Mission,"Kalaben Mohanbhai Delkar
Gajanan Chandrakant Kirtikar
Hemant Tukaram Godse",ELECTRONICS AND INFORMATION TECHNOLOGY
106,05-Apr-2023,Doubling of Ambalappuzha-Ernakulam Rail Line,Abdul Majeed Ariff,RAILWAYS
107,05-Apr-2023,Central Silk Board,Ajay Nishad,TEXTILES
108,05-Apr-2023,Passenger Train in Telangana,Uttam Kumar Nalamada Reddy,RAILWAYS
109,05-Apr-2023,Startups,Ramesh Pokhriyal Nishank,COMMERCE AND INDUSTRY
110,05-Apr-2023,Status of Progress of 5G Services,Beesetti Venkata Satyavathi,COMMUNICATIONS
111,05-Apr-2023,Bullet train under Sea,Ghanshyam Singh Lodhi,RAILWAYS
112,05-Apr-2023,Setting up of New Industries in Rajasthan,Arjunlal Meena,COMMERCE AND INDUSTRY
113,05-Apr-2023,New Tea Act,Pallab Lochan Das,COMMERCE AND INDUSTRY
114,05-Apr-2023,Regular Scientists,M. Selvaraj,SCIENCE AND TECHNOLOGY
115,05-Apr-2023,Customs Duty on Textile Machinery,Aparupa Poddar,TEXTILES
116,05-Apr-2023,Food Adulteration,K. Jayakumar,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
117,05-Apr-2023,Pharma Export,Mala Roy,COMMERCE AND INDUSTRY
118,05-Apr-2023,FDI Policy,Upendra Singh Rawat,COMMERCE AND INDUSTRY
119,05-Apr-2023,Role of DPA,Poonam (Mahajan) Vajendla Rao,ELECTRONICS AND INFORMATION TECHNOLOGY
120,05-Apr-2023,CPGRAMS,Margani Bharat,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS"
121,05-Apr-2023,Textiles Parks under PM MITRA Scheme,"T.R.V.S. Ramesh
M.K. Vishnu Prasad",TEXTILES
122,05-Apr-2023,Setting up of New Industries in Rajasthan,Rajendra Agrawal,EARTH SCIENCES
123,05-Apr-2023,Production of Steel,Jagdambika Pal,STEEL
124,05-Apr-2023,DMIC,P.P. Chaudhary,COMMERCE AND INDUSTRY
125,05-Apr-2023,Premium Flagship Train via Thawe route,Alok Kumar Suman,RAILWAYS
126,05-Apr-2023,Development of Basic Infrastructure of Railways,Arun Kumar Sagar,RAILWAYS
127,05-Apr-2023,Revival of Export of Handicrafts,Dushyant Singh,TEXTILES
128,05-Apr-2023,Semiconductor Incentive Programme,Manickam Tagore B,ELECTRONICS AND INFORMATION TECHNOLOGY
129,05-Apr-2023,Gold Mines/Reserves,"C.N. Annadurai
Manjulata Mandal",MINES
130,05-Apr-2023,Digital Villages,Pratima Mondal,ELECTRONICS AND INFORMATION TECHNOLOGY
131,05-Apr-2023,Import of Sub-standard Goods,Su Thirunavukkarasar,COMMERCE AND INDUSTRY
132,05-Apr-2023,Stopping the use of Nuclear Energy,Malook Nagar,ATOMIC ENERGY
133,05-Apr-2023,New Foreign Trade Policy,Sarmistha Sethi,COMMERCE AND INDUSTRY
134,05-Apr-2023,Earthquake Early Warning System,"Shardaben Anilbhai Patel
Mitesh Rameshbhai (Bakabhai) Patel",EARTH SCIENCES
135,05-Apr-2023,R&D in Emerging Technology,Rajyavardhan Singh Rathore,ELECTRONICS AND INFORMATION TECHNOLOGY
136,05-Apr-2023,Expansion of Telecom Services,S. Venkatesan,COMMUNICATIONS
137,05-Apr-2023,Implementation of ONORC,Sanjay Seth,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
138,05-Apr-2023,Gati Shakti Cargo Terminals in Odisha and Andhra Pradesh,"Mahesh Sahoo
Balashowry Vallabbhaneni",RAILWAYS
139,05-Apr-2023,Displaced People in Odisha,Jual Oram,MINES
140,05-Apr-2023,Imports of Dogs,Manish Tewari,COMMERCE AND INDUSTRY
141,05-Apr-2023,Legacy Issues in MTNL and BSNL,Andimuthu Raja,COMMUNICATIONS
142,05-Apr-2023,Stopping the use of Nuclear Energy,Malook Nagar,ATOMIC ENERGY
143,05-Apr-2023,New Foreign Trade Policy,Sarmistha Sethi,COMMERCE AND INDUSTRY
144,05-Apr-2023,Earthquake Early Warning System,"Shardaben Anilbhai Patel
Mitesh Rameshbhai (Bakabhai) Patel",EARTH SCIENCES
145,05-Apr-2023,R&D in Emerging Technology,Rajyavardhan Singh Rathore,ELECTRONICS AND INFORMATION TECHNOLOGY
146,05-Apr-2023,Expansion of Telecom Services,S. Venkatesan,COMMUNICATIONS
147,05-Apr-2023,Implementation of ONORC,Sanjay Seth,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
148,05-Apr-2023,Gati Shakti Cargo Terminals in Odisha and Andhra Pradesh,"Mahesh Sahoo
Balashowry Vallabbhaneni",RAILWAYS
149,05-Apr-2023,Displaced People in Odisha,Jual Oram,MINES
150,05-Apr-2023,Imports of Dogs,Manish Tewari,COMMERCE AND INDUSTRY
151,05-Apr-2023,Legacy Issues in MTNL and BSNL,Andimuthu Raja,COMMUNICATIONS
152,05-Apr-2023,Stopping the use of Nuclear Energy,Malook Nagar,ATOMIC ENERGY
153,05-Apr-2023,Criminal Cases against Civil Service Officers,Sougata Ray,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS"
154,05-Apr-2023,Promotion of Online Gambling Apps by Celebrities,"Mohan Mandavi
Vijay Baghel",ELECTRONICS AND INFORMATION TECHNOLOGY
155,05-Apr-2023,Clusters sanctiond under NHDP,S. Jothimani,TEXTILES
156,05-Apr-2023,Impact of Social Media,Janardan Singh Sigriwal,ELECTRONICS AND INFORMATION TECHNOLOGY
157,05-Apr-2023,Opening of Closed Railway Crossing,Jai Prakash,RAILWAYS
158,05-Apr-2023,Coal Royalty,"M.K. Vishnu Prasad
T.R.V.S. Ramesh",COAL
159,05-Apr-2023,Sabari Rail Project,Hibi Eden,RAILWAYS
160,05-Apr-2023,PM MITRA Textile Park in Maharashtra,Manoj Kishorbhai Kotak,TEXTILES
161,05-Apr-2023,Manufacturing and Export Hub,Adala Prabhakara Reddy,TEXTILES
162,05-Apr-2023,Construction of Overbridges/Underbridges in Maharashtra,Sanjay Haribhau Jadhav,RAILWAYS
163,05-Apr-2023,ODOP,Pocha Brahmananda Reddy,COMMERCE AND INDUSTRY
164,05-Apr-2023,Weather based Agro Advisory Services,Magunta Sreenivasulu Reddy,EARTH SCIENCES
165,05-Apr-2023,Status of Gaganyaan Programme,Jagannath Sarkar,SPACE
166,05-Apr-2023,Production of Oilseeds and Edible Oils,Jayant Sinha,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
167,05-Apr-2023,Identification of Aspirational Districts,Dileshwar Kamait,PLANNING
168,05-Apr-2023,Shortage of Containers,Maddila Gurumoorthy,RAILWAYS
169,05-Apr-2023,Linking Aadhar under NFSA,Naba (Hira) Kumar Sarania,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
170,05-Apr-2023,Trade Agreement with Australia,Gautham Sigamani Pon,COMMERCE AND INDUSTRY
171,05-Apr-2023,Prevention Theft from the Loaded Freight,Ashok Mahadeorao Nete,RAILWAYS
172,05-Apr-2023,Construction of Overbridges/Underbridges in Maharashtra,Sanjay Haribhau Jadhav,RAILWAYS
173,05-Apr-2023,Course Completed Apprentice Act,Raksha Nikhil Khadse,RAILWAYS
174,05-Apr-2023,MyGov 2.0,Poonamben Hematbhai Maadam,ELECTRONICS AND INFORMATION TECHNOLOGY
175,05-Apr-2023,Grievance Appellate Committee,Kinjarapu Ram Mohan Naidu,ELECTRONICS AND INFORMATION TECHNOLOGY
176,05-Apr-2023,Coverage under NFSA,"Chinta Anuradha
Reddeppa Nallakonda Gari","CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
177,05-Apr-2023,Electrification Work of Railways,"Subhash Ramrao Bhamre
Supriya Sadanand Sule
Ganesan Selvam
Kuldeep Rai Sharma
Dhanush M Kumar
C.N. Annadurai
Manjulata Mandal
Sunil Dattatray Tatkare
Amol Ramsing Kolhe",RAILWAYS
178,05-Apr-2023,BSNL Revival Package,Karti P. Chidambaram,COMMUNICATIONS
179,05-Apr-2023,GI Tag,Dr. T. Sumathy (a) Thamizhachi Thangapandian,COMMERCE AND INDUSTRY
180,05-Apr-2023,Fall in Prices of Onion and Potato,"Kuldeep Rai Sharma
Subhash Ramrao Bhamre
DNV Senthilkumar. S.
Supriya Sadanand Sule
Sunil Dattatray Tatkare
Amol Ramsing Kolhe","CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
181,05-Apr-2023,Promotion of Indian Textile and Handloom Industries,"Ramesh Chand Bind
DNV Senthilkumar. S.",COMMUNICATIONS
182,05-Apr-2023,Recruitment to Level-1 in Railways,V. Kalanidhi,RAILWAYS
183,05-Apr-2023,Converting Metre Gauge to Broad Gauge,P. Ravindhranath,RAILWAYS
184,05-Apr-2023,Relaxing Norms to Issue More Ration Cards,"Saikia Dilip
Ranjeetsingh Naik Nimbalkar","CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
185,05-Apr-2023,Decline in Research Expenditure,Pinaki Misra,SCIENCE AND TECHNOLOGY
186,05-Apr-2023,Seamless Modeling Systems,Balashowry Vallabbhaneni,EARTH SCIENCES
187,05-Apr-2023,Notices from CCPA,A.K.P. Chinraj,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
188,05-Apr-2023,SEZ Act,"Bhavana Gawali (Patil)
Krupal Balaji Tumane",COMMERCE AND INDUSTRY
189,05-Apr-2023,KVPY,Sunil Baburao Mendhe,SCIENCE AND TECHNOLOGY
190,05-Apr-2023,Eviction of People from Railway Land,Vellalath Kochukrishnan Nair. Sreekandan,RAILWAYS
191,05-Apr-2023,Wireless Communication,S. Jagathrakshakan,COMMUNICATIONS
192,05-Apr-2023,Women Scientists,D. M. Kathir Anand,SCIENCE AND TECHNOLOGY
193,05-Apr-2023,Upgradation of Sonipat Railway Station,Ramesh Chander Kaushik,RAILWAYS
194,05-Apr-2023,Import of Toys,Manoj Kumar Tiwari,COMMERCE AND INDUSTRY
195,05-Apr-2023,Units of SAIL,Gowdar Mallikarjunappa Siddeshwara,STEEL
196,05-Apr-2023,ChatGPT Technology,M. K. Raghavan,ELECTRONICS AND INFORMATION TECHNOLOGY
197,05-Apr-2023,Improving Financial Viability of FPSs,Parbatbhai Savabhai Patel,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
198,05-Apr-2023,Illegal Trade,Chandra Sekhar Bellana,COMMERCE AND INDUSTRY
199,05-Apr-2023,Vande Bharat Express from Metro Cities,T. R. Paarivendhar,RAILWAYS
200,05-Apr-2023,Inclusion of Paan Methi in Spices Board,Hanuman Beniwal,COMMERCE AND INDUSTRY
201,05-Apr-2023,Reduction of Corruption,Gopal Chinayya Shetty,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS"
202,05-Apr-2023,Vacancies in Patent Office,"Goddeti Madhavi
Chinta Anuradha",COMMERCE AND INDUSTRY
203,05-Apr-2023,Status of Poverty Eradication,Chandrani Murmu,PLANNING
204,05-Apr-2023,Commemorative Postal Stamps,Ramdas Chandrabhanji Tadas,COMMUNICATIONS
205,05-Apr-2023,Modernisation of Munroturuttu Railway Station,Suresh Kodikunnil,RAILWAYS
206,05-Apr-2023,High Speed Optical Fiber Network,Sanghamitra Maurya,COMMUNICATIONS
207,05-Apr-2023,UMMID,Jayadev Galla,SCIENCE AND TECHNOLOGY
208,05-Apr-2023,Minerals in MP,Gajendra Singh Patel,MINES
209,05-Apr-2023,OSOPS,"Sangamlal Kadedin Gupta
Pratap Chandra Sarangi
Bheemrao Baswanthrao Patil
Mahendra Singh Solanky
Ramapati Ram Tripathi
Anurag Sharma
P.P. Chaudhary
Brijbhushan Sharan Singh",RAILWAYS
210,05-Apr-2023,Aspirational Districts,"Debasree Chaudhuri
Poonam (Mahajan) Vajendla Rao",PLANNING
211,05-Apr-2023,BGT Policy,Dibyendu Adhikari,RAILWAYS
212,05-Apr-2023,Export of Software,P. Velusamy,ELECTRONICS AND INFORMATION TECHNOLOGY
213,05-Apr-2023,National Geospatial Programme,"Jayanta Kumar Roy
Sangeeta Kumari Singh Deo",SCIENCE AND TECHNOLOGY
214,05-Apr-2023,Stoppage of Rajdhani Express at Ghaziabad,Abdul Khaleque,RAILWAYS
215,05-Apr-2023,Installation of Doppler Radars,Sudhakar Tukaram Shrangre,EARTH SCIENCES
216,05-Apr-2023,Post Offices in Rented Buildings,Adoor Prakash,COMMUNICATIONS
217,05-Apr-2023,Pradhan Mantri Credit Scheme,"Vinod Kumar Sonkar
Bhola Singh
Rajveer (Raju Bhaiya) Singh
Sukanta Majumdar",TEXTILES
218,05-Apr-2023,Implementation of BharatNet,Vishnu Dutt Sharma,COMMUNICATIONS
219,05-Apr-2023,Employment and Trade under ‘Make in India’ Programme,"Arvind Ganpat Sawant
Chandeshwar Prasad",TEXTILES
220,05-Apr-2023,VAJRA Scheme,"Mahendra Singh Solanky
Pratap Chandra Sarangi
Sangamlal Kadedin Gupta
Anurag Sharma
Brijbhushan Sharan Singh
Ramapati Ram Tripathi
P.P. Chaudhary",SCIENCE AND TECHNOLOGY
221,05-Apr-2023,Investment Sentiments,Kotha Prabhakar Reddy,COMMERCE AND INDUSTRY
222,05-Apr-2023,Export of Software,Nishikant Dubey,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
223,05-Apr-2023,SPECS,Kunwar Danish Ali,ELECTRONICS AND INFORMATION TECHNOLOGY
224,05-Apr-2023,Telecom Network,Asaduddin Owaisi,COMMUNICATIONS
225,05-Apr-2023,LGDs,Ritesh Pandey,COMMERCE AND INDUSTRY
226,05-Apr-2023,Mechanism for Food Quality Control,Sanjay(Kaka) Ramchandra Patil,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
227,05-Apr-2023,Salient Feature of SAMARTH Scheme,"Jaskaur Meena
Sanjay Jaiswal
Tirath Singh Rawat
Kripanath Mallah",TEXTILES
228,05-Apr-2023,Features of PMGDISHA,"Jadon Chandra Sen
Sanjay Haribhau Jadhav
Omprakash Bhupalsinh alias Pawan Rajenimbalkar",ELECTRONICS AND INFORMATION TECHNOLOGY
